[2025-11-16T19:38:13.357+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-11-16T19:38:13.402+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: job_ingestion_pipeline.validate_data manual__2025-11-16T19:38:12.770729+00:00 [queued]>
[2025-11-16T19:38:13.414+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: job_ingestion_pipeline.validate_data manual__2025-11-16T19:38:12.770729+00:00 [queued]>
[2025-11-16T19:38:13.415+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-11-16T19:38:13.431+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): validate_data> on 2025-11-16 19:38:12.770729+00:00
[2025-11-16T19:38:13.450+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'job_ingestion_pipeline', 'validate_data', 'manual__2025-11-16T19:38:12.770729+00:00', '--job-id', '7', '--raw', '--subdir', 'DAGS_FOLDER/dag_ingestion.py', '--cfg-path', '/tmp/tmp52kgyzbj']
[2025-11-16T19:38:13.455+0000] {standard_task_runner.py:91} INFO - Job 7: Subtask validate_data
[2025-11-16T19:38:13.455+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=264) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-11-16T19:38:13.456+0000] {standard_task_runner.py:64} INFO - Started process 288 to run task
[2025-11-16T19:38:13.558+0000] {task_command.py:426} INFO - Running <TaskInstance: job_ingestion_pipeline.validate_data manual__2025-11-16T19:38:12.770729+00:00 [running]> on host 8088341ffd4c
[2025-11-16T19:38:14.055+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='job_ingestion_pipeline' AIRFLOW_CTX_TASK_ID='validate_data' AIRFLOW_CTX_EXECUTION_DATE='2025-11-16T19:38:12.770729+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-11-16T19:38:12.770729+00:00'
[2025-11-16T19:38:14.059+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-11-16T19:38:14.252+0000] {_docs_decorators.py:115} INFO - Skipping registering function get_context because it does not have a class
[2025-11-16T19:38:17.392+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/snowflake/sqlalchemy/base.py:1068: SAWarning: The GenericFunction 'flatten' is already registered and is going to be overridden.
  functions.register_function("flatten", flatten)

[2025-11-16T19:38:17.554+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_datasource.<locals>.crud_method_info because it is a closure
[2025-11-16T19:38:17.555+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_update_datasource.<locals>.crud_method_info because it is a closure
[2025-11-16T19:38:17.556+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_or_update_datasource.<locals>.crud_method_info because it is a closure
[2025-11-16T19:38:17.557+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_delete_datasource.<locals>.crud_method_info because it is a closure
[2025-11-16T19:38:17.563+0000] {_docs_decorators.py:109} INFO - Skipping registering function DataSourceManager._register_add_datasource.<locals>.crud_method_info because it is a closure
